Student_id,Student_first_name,Student_last_name,Email,Phone,Birth_date,Degree,Start_date
267935385,Michael,Zeltser,michael_zeltser@jct.ac.il,054-7663108,1983-02-16,MA in physics,2023-08-07
242873933,Abigail,Rosen,abigail_rosen02@jct.ac.il,059-7485700,2002-08-18,MA in computer science,2024-10-04
381540624,Noa,Bernstein,noa80bernstein@gmail.com,051-4565880,1980-04-07,MA in chemistry,2022-03-07
321695256,Yoav,Fisher,yoav06fisher@gmail.com,053-5953307,2006-03-06,BA in math,2020-08-25
297860090,Bar,Sabag,bar_sabag@jct.ac.il,056-8378723,1996-01-26,BA in ecology,2024-10-02
360857411,Tomer,Stern,tomer_stern@jct.ac.il,052-2412854,1985-09-21,MA in chemistry,2021-08-05
324413699,Mor,Stern,mor80stern@gmail.com,050-6329782,1980-01-01,MA in economics,2023-10-12
332077924,Inbar,Elias,inbar_elias99@jct.ac.il,059-6243307,1999-10-18,MA in sociology,2023-10-10
382954055,Yael,Bachar,yael_bachar@jct.ac.il,059-0617062,2004-05-17,BA in theatre,2023-10-23
373091420,Noa,Levi,noa_levi01@jct.ac.il,053-4214044,2001-04-17,BA in computer science,2020-07-27
248263501,Abigail,Finkelstein,abigail_finkelstein@jct.ac.il,053-2528876,2003-02-16,BA in geographics,2024-10-17
225478338,Yoav,Ben-Shitrit,yoav_ben-shitrit@gmail.com,058-9765157,1990-01-14,BA in anthropology,2022-10-29
206751836,Noam,Dayan,noam_dayan00@jct.ac.il,052-1704403,2000-10-15,BA in ecology,2022-03-02
281743484,Yoav,Tayeb,yoav00tayeb@gmail.com,059-5547691,2000-01-23,MA in neurology,2024-10-19
221062623,Noa,Revivo,noa_revivo@jct.ac.il,059-4296700,1987-03-22,MA in oncology,2024-07-30
209168905,Rotem,Bachar,rotem00bachar@jct.ac.il,054-9650382,2000-11-09,BA in engineering,2022-10-08
348304569,Asaf,Rosen,asaf_rosen@gmail.com,050-3242006,1998-01-31,BA in history,2022-07-14
393906607,Yuval,Baruch,yuval_baruch06@gmail.com,050-4404398,2006-02-24,BA in biology,2024-07-26
356490821,David,Koren,david_koren@jct.ac.il,056-0503748,1997-12-21,BA in theatre,2022-10-29
252397302,Guy,Almog,guy98almog@gmail.com,055-1195488,1998-08-19,MA in astronomy,2022-07-18
271249559,Noa,Stern,noa_stern@jct.ac.il,054-4546415,1998-10-04,BA in neurology,2021-07-03
322458852,Asaf,Solomon,asaf_solomon93@gmail.com,051-2264411,1993-10-26,BA in math,2024-03-07
364114884,Inbar,Ziv,inbar_ziv@jct.ac.il,059-6335652,1989-04-10,MA in astronomy,2022-03-12
253791537,Sarit,Berkowitz,sarit_berkowitz@jct.ac.il,052-7961291,2002-10-06,BA in neurology,2021-08-01
206248908,Adam,Dagan,adam_dagan@gmail.com,056-6004468,1996-10-03,BA in art,2024-08-17
298390659,Yael,Shaked,yael_shaked@gmail.com,050-5533003,2004-11-19,BA in math,2020-08-22
340981380,Liam,Avitan,liam_avitan@jct.ac.il,053-7882144,1990-07-02,BA in engineering,2023-10-26
323123919,Jonathan,Koren,jonathan_koren93@jct.ac.il,053-2035851,1993-01-10,BA in art,2023-03-28
382458339,Daniel,Herzog,daniel_herzog@gmail.com,055-0925505,1980-10-15,BA in ecology,2020-08-28
286228770,Yoav,Peretz,yoav88peretz@gmail.com,055-1370623,1988-04-21,MA in computer science,2021-08-18
290827047,Yoav,Dagan,yoav_dagan@jct.ac.il,050-1253798,1993-06-07,BA in anthropology,2020-03-11
334026598,Amit,Finkelstein,amit_finkelstein@jct.ac.il,059-9536241,1987-07-05,BA in sociology,2024-07-29
211105887,Yael,Avitan,yael94avitan@jct.ac.il,057-9551079,1994-07-05,BA in physics,2023-10-18
361979727,Alon,Ben-Shitrit,alon_ben-shitrit04@gmail.com,058-1903496,2004-06-14,MA in economics,2024-08-13
238930481,Inbar,Elias,inbar_elias@jct.ac.il,052-7913867,1991-11-07,MA in english,2022-07-20
280012600,Noa,Finkelstein,noa99finkelstein@gmail.com,052-4382252,1999-11-13,BA in art,2022-03-10
238578181,Ori,Barak,ori_barak@gmail.com,056-1982414,2002-06-03,BA in oncology,2023-10-13
212827877,Tomer,Menahem,tomer92menahem@jct.ac.il,050-4805116,1992-08-02,BA in ecology,2021-10-12
220504500,Sarit,Eliakim,sarit_eliakim84@jct.ac.il,054-4255013,1984-11-11,MA in astronomy,2023-03-18
294330865,Niv,Bernstein,niv_bernstein@gmail.com,052-7481832,1990-03-20,MA in engineering,2020-08-10
233322072,Yael,Almog,yael80almog@jct.ac.il,059-8827737,1980-05-09,BA in theatre,2023-08-03
315766758,Gefen,Berkowitz,gefen98berkowitz@jct.ac.il,050-1312010,1998-07-27,MA in anthropology,2023-10-07
328574678,Gefen,Almog,gefen_almog@jct.ac.il,054-5148835,2006-01-05,BA in math,2024-03-30
319960589,Roni,Ziv,roni_ziv95@jct.ac.il,056-4639872,1995-04-30,BA in ecology,2021-07-28
343539730,Itay,Avraham,itay_avraham@gmail.com,057-1456509,1983-01-02,MA in theatre,2022-10-09
343764189,Ron,Avitan,ron02avitan@gmail.com,054-0173331,2002-09-26,BA in sociology,2023-08-26
260363528,Maya,Danon,maya_danon84@gmail.com,053-9691684,1984-11-05,BA in physics,2023-10-10
349397794,Ori,Koren,ori_koren97@jct.ac.il,050-8050826,1997-02-19,MA in physics,2020-10-11
351311865,Roni,Stern,roni_stern@jct.ac.il,059-6156270,2002-09-09,BA in geographics,2022-08-11
323218354,Guy,Malul,guy_malul@gmail.com,052-7281168,2003-04-23,MA in math,2021-10-20
287783856,Carmel,Zeltser,carmel_zeltser@gmail.com,059-0884325,2003-04-11,MA in ecology,2021-03-17
338160435,Jonathan,Friedman,jonathan_friedman@gmail.com,059-4007329,1985-12-08,BA in biology,2020-03-05
270442783,Roni,Almog,roni84almog@jct.ac.il,054-0526889,1984-02-18,BA in psychology,2023-10-06
397170986,Michael,Ziv,michael83ziv@jct.ac.il,054-1957969,1983-10-17,BA in psychology,2020-10-10
342805975,Michael,Ben-Shitrit,michael83ben-shitrit@gmail.com,051-6740276,1983-04-19,MA in neurology,2024-10-10
392576245,Adam,Dayan,adam_dayan@jct.ac.il,058-3168986,1985-10-10,BA in math,2020-03-01
363275173,Sarit,Friedman,sarit85friedman@jct.ac.il,053-3830139,1985-09-06,MA in oncology,2021-10-04
289911372,Alon,Almog,alon_almog04@jct.ac.il,055-3278305,2004-06-11,MA in biology,2024-03-03
253007660,Ron,Mizrahi,ron_mizrahi95@gmail.com,056-3635651,1995-01-09,BA in astronomy,2023-10-14
279787097,David,Ben-Shitrit,david93ben-shitrit@jct.ac.il,052-3460201,1993-05-22,MA in oncology,2024-07-11
330848540,Shira,Assouline,shira_assouline@jct.ac.il,050-3944842,1993-04-07,BA in math,2024-10-26
343280871,Dean,Bernstein,dean01bernstein@gmail.com,059-8477502,2001-05-16,MA in neurology,2021-07-25
243147857,Oren,Baruch,oren84baruch@jct.ac.il,052-8334157,1984-08-21,BA in theatre,2023-10-17
311496574,Liam,Menash,liam_menash@gmail.com,053-3145311,1984-05-22,BA in engineering,2022-07-14
301904199,Shira,Kramer,shira_kramer@gmail.com,051-5183533,1985-04-13,MA in sociology,2022-03-04
333321206,Guy,Assouline,guy04assouline@gmail.com,057-3940912,2004-06-29,MA in physics,2024-07-29
212117808,Yoav,Finkelstein,yoav96finkelstein@jct.ac.il,051-5992615,1996-06-22,MA in anthropology,2020-03-14
326703535,Shahar,Malul,shahar89malul@gmail.com,059-8640232,1989-03-05,MA in neurology,2020-08-26
310173687,Yael,Stern,yael92stern@jct.ac.il,054-8482551,1992-08-20,BA in oncology,2022-03-20
354861684,Shira,Dagan,shira_dagan94@jct.ac.il,059-0819134,1994-01-19,MA in geographics,2024-07-07
274449107,Shira,Shaked,shira_shaked@jct.ac.il,057-2791693,1997-06-29,MA in chemistry,2023-03-15
231539990,Sarit,Levi,sarit_levi84@jct.ac.il,056-5742179,1984-08-10,BA in biology,2022-07-02
297735656,Shira,Barak,shira90barak@jct.ac.il,053-8886589,1990-08-03,BA in sociology,2024-08-09
329369144,Yael,Stern,yael88stern@gmail.com,054-3787059,1988-10-05,MA in geographics,2022-03-27
288339526,Sagi,Stern,sagi_stern92@gmail.com,050-7310083,1992-12-30,MA in theatre,2022-08-23
248366973,Noa,Malul,noa_malul92@jct.ac.il,052-3225702,1992-10-11,MA in geographics,2024-07-21
340909688,Roni,Ben-Ari,roni_ben-ari@gmail.com,056-3156157,1988-03-21,MA in economics,2020-03-07
248903882,Carmel,Revivo,carmel_revivo91@gmail.com,051-3352698,1991-04-20,MA in psychology,2023-03-26
350860771,Guy,Tzur,guy84tzur@gmail.com,058-8804758,1984-02-16,MA in economics,2021-08-17
294989066,Roni,Koren,roni_koren90@gmail.com,059-9677728,1990-11-23,BA in art,2022-03-04
378202154,Noam,Danon,noam91danon@gmail.com,055-8928996,1991-02-06,MA in chemistry,2023-10-22
228123618,Rotem,Tzur,rotem_tzur@jct.ac.il,059-7887214,2004-03-27,MA in physics,2024-03-04
212468367,Ofir,Solomon,ofir_solomon@jct.ac.il,056-0735661,2003-10-01,BA in geographics,2024-03-04
232041467,Ofir,Elias,ofir_elias@gmail.com,053-0241932,2002-09-07,BA in biology,2023-08-14
398932863,Yoav,Kramer,yoav_kramer@gmail.com,057-9639116,1993-05-31,BA in art,2023-08-09
200123008,Yael,Kahana,yael_kahana93@gmail.com,052-5689328,1993-05-23,MA in sociology,2023-10-30
226921682,Dean,Friedman,dean_friedman83@gmail.com,054-4704851,1983-08-07,MA in oncology,2021-10-28
378920151,Mor,Biton,mor_biton02@gmail.com,055-5129913,2002-02-04,BA in physics,2023-07-28
390025864,Shira,Berkowitz,shira96berkowitz@jct.ac.il,052-1949827,1996-06-25,MA in ecology,2020-08-25
345926125,Adam,Ben-Ari,adam93ben-ari@jct.ac.il,054-7371431,1993-02-01,MA in economics,2023-08-05
288987167,Michael,Shamir,michael03shamir@jct.ac.il,051-0378595,2003-02-05,BA in geographics,2022-10-04
324171727,Dean,Koren,dean_koren@gmail.com,057-6329896,2004-09-03,BA in psychology,2021-03-05
269740619,Yoav,Friedman,yoav_friedman81@gmail.com,059-9869879,1981-02-21,MA in sociology,2020-10-27
375296431,Tamar,Shaked,tamar02shaked@jct.ac.il,050-5368130,2002-07-29,MA in anthropology,2024-08-01
214762643,Noam,Zeltser,noam_zeltser85@gmail.com,059-6901654,1985-05-03,MA in geographics,2024-07-26
292014750,Shaked,Herzog,shaked_herzog83@gmail.com,053-3268192,1983-11-03,MA in computer science,2021-07-27
394535322,Niv,Rosen,niv_rosen00@jct.ac.il,051-3482768,2000-11-25,MA in biology,2021-07-27
205219652,Raz,Malul,raz83malul@jct.ac.il,058-5547326,1983-12-10,BA in computer science,2023-03-13
248518250,Dana,Baruch,dana96baruch@gmail.com,055-2528311,1996-09-18,MA in geographics,2021-07-27
330064882,Maya,Ashkenazi,maya92ashkenazi@jct.ac.il,054-2881046,1992-12-31,BA in geographics,2023-10-30
391645298,Gefen,Avraham,gefen_avraham06@jct.ac.il,052-6792556,2006-12-03,MA in history,2024-03-26
363752916,Mor,Tayeb,mor86tayeb@gmail.com,051-7680290,1986-12-25,BA in cardiology,2020-10-16
386253645,Ofir,Ben-Shitrit,ofir_ben-shitrit@jct.ac.il,058-2865020,2002-12-15,MA in sociology,2021-10-19
219333374,Maya,Cohen,maya_cohen@gmail.com,058-3710272,2005-04-07,BA in sociology,2021-03-31
202065116,Dana,Dayan,dana06dayan@gmail.com,058-3190256,2006-07-11,MA in chemistry,2024-08-03
378345672,Jonathan,Assouline,jonathan_assouline@jct.ac.il,054-8096958,1996-07-11,BA in sociology,2021-08-01
324404185,Daniel,Tzur,daniel_tzur@gmail.com,051-7647273,1999-05-20,MA in art,2021-08-03
219451911,Yael,Eliakim,yael_eliakim86@gmail.com,051-4337139,1986-07-30,MA in chemistry,2022-07-11
304483258,Carmel,Bernstein,carmel_bernstein@jct.ac.il,050-1947952,1992-06-03,MA in sociology,2024-07-11
212614648,Ido,Fisher,ido_fisher@gmail.com,055-0898606,1991-11-23,MA in art,2023-07-13
271369407,Tomer,Avitan,tomer_avitan93@gmail.com,058-0293628,1993-03-24,MA in anthropology,2022-07-06
251028718,Dana,Cohen,dana_cohen89@gmail.com,057-0988711,1989-10-30,BA in neurology,2023-07-15
368560215,Abigail,Solomon,abigail81solomon@jct.ac.il,052-3273001,1981-01-21,MA in anthropology,2020-08-11
206527095,Sagi,Bachar,sagi_bachar91@gmail.com,057-9389349,1991-07-01,MA in economics,2021-10-05
231044157,Yael,Friedman,yael00friedman@gmail.com,055-7942757,2000-02-19,MA in anthropology,2023-07-27
262552854,Abigail,Cohen,abigail82cohen@jct.ac.il,055-7299960,1982-08-21,BA in math,2023-07-25
240140368,Oren,Almog,oren84almog@gmail.com,057-7077930,1984-02-27,MA in computer science,2021-03-10
318879087,Yoav,Shaked,yoav83shaked@gmail.com,053-7666605,1983-02-17,MA in psychology,2024-10-30
263465056,David,Ben-David,david_ben-david06@jct.ac.il,053-7216244,2006-09-16,MA in neurology,2022-08-14
301462131,Almog,Baruch,almog_baruch81@jct.ac.il,059-3850828,1981-05-29,MA in history,2023-07-11
323814905,Shira,Rafael,shira_rafael85@gmail.com,051-7629826,1985-04-20,MA in astronomy,2021-03-12
336240817,Liam,Finkelstein,liam_finkelstein89@gmail.com,057-9872623,1989-09-13,MA in economics,2020-03-23
298601410,Dean,Biton,dean81biton@jct.ac.il,056-7533738,1981-05-20,MA in economics,2020-10-31
368144663,Roni,Ben-Ari,roni_ben-ari05@jct.ac.il,053-1622804,2005-01-29,MA in biology,2021-03-05
298087883,Tal,Koren,tal_koren83@jct.ac.il,059-7339554,1983-10-12,MA in geographics,2024-03-10
224203687,Dean,Zohar,dean_zohar90@jct.ac.il,054-9287453,1990-12-21,MA in art,2020-08-08
323727834,Dana,Herzog,dana_herzog92@gmail.com,055-3971450,1992-07-24,BA in ecology,2022-08-21
380067330,Itay,Malul,itay_malul00@gmail.com,055-8983036,2000-07-26,BA in ecology,2023-07-30
206308298,Yael,Shaked,yael_shaked@jct.ac.il,050-7555541,1993-08-21,BA in ecology,2023-10-11
398599589,Carmel,Zeltser,carmel_zeltser@jct.ac.il,059-8228462,1994-09-03,MA in english,2024-08-20
322265257,Bar,Ashkenazi,bar_ashkenazi85@gmail.com,056-5655515,1985-04-01,BA in anthropology,2024-07-04
361073141,Noa,Baruch,noa_baruch@gmail.com,056-8439489,2006-05-05,BA in cardiology,2024-08-22
231261371,Abigail,Danon,abigail85danon@jct.ac.il,056-5124081,1985-09-07,BA in history,2021-07-19
369527304,Liam,Shaked,liam_shaked88@gmail.com,052-8186050,1988-08-16,MA in chemistry,2023-10-12
305254591,Daniel,Koren,daniel92koren@gmail.com,057-9956354,1992-04-16,BA in computer science,2023-03-08
313345746,Sagi,Danon,sagi03danon@gmail.com,054-0598982,2003-03-22,MA in psychology,2020-10-02
333073526,Tomer,Friedman,tomer_friedman@gmail.com,051-8437673,2004-05-21,BA in oncology,2023-03-04
328259353,Noam,Kramer,noam_kramer@gmail.com,058-1089633,1981-01-28,MA in ecology,2023-10-31
321056228,Roni,Tzur,roni_tzur97@jct.ac.il,054-1112551,1997-04-07,BA in computer science,2024-03-28
213346893,Maya,Dayan,maya81dayan@gmail.com,053-8592923,1981-03-18,MA in psychology,2024-03-27
266432129,Bar,Kahana,bar05kahana@gmail.com,054-4269166,2005-05-24,MA in sociology,2021-03-29
391015435,Eli,Baruch,eli_baruch88@gmail.com,051-2582730,1988-06-15,BA in engineering,2021-03-25
246205520,David,Rafael,david_rafael80@jct.ac.il,057-9688554,1980-10-15,MA in engineering,2021-07-02
319530572,Eli,Elias,eli_elias@gmail.com,057-7660979,1988-01-01,BA in chemistry,2023-07-04
325614311,Sarit,Shaked,sarit_shaked@jct.ac.il,059-9635239,1992-06-10,MA in economics,2023-10-03
355078783,Roni,Revivo,roni86revivo@gmail.com,054-9126134,1986-09-04,MA in psychology,2022-07-17
227405537,Tamar,Shaked,tamar_shaked@jct.ac.il,051-4599988,1985-01-29,MA in ecology,2021-10-09
255255572,Shaked,Finkelstein,shaked_finkelstein@jct.ac.il,058-5796023,1981-11-05,MA in sociology,2021-08-20
310843727,Daniel,Bernstein,daniel92bernstein@jct.ac.il,056-0207408,1992-06-14,MA in physics,2020-08-25
386513345,Gal,Avraham,gal_avraham94@gmail.com,053-8486239,1994-02-23,BA in cardiology,2022-07-23
333755734,Ron,Malul,ron88malul@jct.ac.il,051-4001792,1988-06-24,BA in computer science,2020-03-28
319448700,Shira,Bachar,shira_bachar85@jct.ac.il,051-3759239,1985-01-05,MA in history,2024-08-26
396099665,Oren,Katz,oren95katz@gmail.com,053-1795505,1995-12-28,BA in astronomy,2024-10-17
258363704,Shira,Ben-Ari,shira89ben-ari@gmail.com,053-9860237,1989-09-17,BA in math,2022-08-26
317098598,Niv,Ben-Ari,niv_ben-ari@jct.ac.il,050-7895112,1981-11-28,BA in english,2022-03-11
371687195,Oren,Dagan,oren87dagan@jct.ac.il,051-3489957,1987-01-18,MA in math,2022-10-16
222494361,Hila,Zohar,hila98zohar@jct.ac.il,052-3528893,1998-04-25,MA in neurology,2023-03-06
360429419,Jonathan,Eliakim,jonathan_eliakim@jct.ac.il,050-6943027,1992-08-11,MA in history,2021-08-01
350327532,Adi,Tayeb,adi_tayeb@jct.ac.il,055-3312636,1995-06-15,BA in history,2022-08-17
335998266,Noam,Kramer,noam98kramer@gmail.com,052-6878137,1998-07-16,BA in sociology,2021-07-09
216478800,Yoav,Mizrahi,yoav_mizrahi@gmail.com,052-2528374,1993-10-16,BA in biology,2022-08-08
259373629,Niv,Ziv,niv_ziv@gmail.com,054-6796583,1993-09-15,BA in art,2023-03-02
379023898,Shahar,Neumann,shahar03neumann@gmail.com,057-8941714,2003-03-03,BA in english,2021-08-05
217692037,Almog,Baruch,almog_baruch@gmail.com,058-6950408,2003-11-19,BA in engineering,2024-07-27
393980065,Adi,Kahana,adi92kahana@jct.ac.il,050-6580504,1992-06-17,BA in computer science,2023-07-02
227945052,Daniel,Solomon,daniel_solomon83@gmail.com,053-9770957,1983-06-15,MA in math,2022-03-13
250256500,Sarit,Zeltser,sarit06zeltser@gmail.com,054-1409882,2006-01-20,MA in cardiology,2024-07-06
224203315,Itay,Ben-Shitrit,itay_ben-shitrit83@jct.ac.il,059-3622237,1983-03-20,MA in theatre,2021-07-09
260715701,Daniel,Shamir,daniel_shamir81@jct.ac.il,057-3407818,1981-03-20,BA in oncology,2024-07-23
250501277,Noa,Neumann,noa_neumann@jct.ac.il,052-9689350,1996-10-12,MA in art,2023-07-10
349053280,Ori,Solomon,ori_solomon@jct.ac.il,052-1237445,1992-08-10,MA in economics,2020-03-09
277419537,Shaked,Almog,shaked_almog@gmail.com,053-4820160,1996-04-25,BA in art,2022-10-30
352185458,Dana,Malul,dana_malul89@jct.ac.il,058-9404284,1989-06-11,MA in history,2023-03-24
211603550,Oren,Tzur,oren_tzur@gmail.com,050-2649194,1985-01-31,MA in history,2020-08-31
223913872,Gefen,Mizrahi,gefen_mizrahi@jct.ac.il,057-2426099,1988-11-23,MA in neurology,2022-03-01
224326835,Gabriel,Mizrahi,gabriel_mizrahi94@gmail.com,052-4158914,1994-07-15,MA in biology,2022-08-22
213772007,Adi,Dayan,adi_dayan05@gmail.com,052-0346272,2005-12-19,MA in chemistry,2023-07-14
394090187,Shaked,Bachar,shaked87bachar@jct.ac.il,053-1993037,1987-02-27,BA in chemistry,2020-03-29
381791029,Noam,Tzur,noam99tzur@gmail.com,057-8474637,1999-01-12,BA in engineering,2021-08-04
300875317,Raz,Menahem,raz_menahem87@jct.ac.il,054-4984704,1987-12-17,MA in history,2020-07-09
312468978,Niv,Mizrahi,niv_mizrahi@jct.ac.il,058-8503376,2003-08-01,BA in computer science,2024-08-06
363796533,Dana,Dayan,dana_dayan@gmail.com,055-5407124,1995-06-18,BA in chemistry,2023-08-21
357494095,Shira,Kahana,shira_kahana@jct.ac.il,055-3256405,1988-03-08,MA in engineering,2023-08-14
207672320,Tomer,Mizrahi,tomer_mizrahi89@gmail.com,058-2468076,1989-02-07,BA in biology,2023-07-20
281507632,Roni,Ben-David,roni_ben-david97@jct.ac.il,057-8044944,1997-11-30,BA in math,2021-03-02
353362452,Oren,Bachar,oren_bachar99@jct.ac.il,059-4801306,1999-12-07,MA in cardiology,2024-10-25
224576413,Amit,Neumann,amit81neumann@gmail.com,054-3394635,1981-01-13,MA in neurology,2021-03-07
299195420,Ron,Zohar,ron_zohar@jct.ac.il,058-6644383,1983-11-16,MA in ecology,2022-07-22
217330471,Tal,Koren,tal_koren@jct.ac.il,051-4445166,1991-04-19,MA in sociology,2022-03-11
388362030,Noam,Peretz,noam_peretz@gmail.com,051-0416264,1980-09-14,MA in anthropology,2024-10-23
353647969,Jonathan,Assouline,jonathan86assouline@jct.ac.il,051-5074894,1986-01-05,MA in chemistry,2021-03-27
398108217,Liam,Tayeb,liam_tayeb@jct.ac.il,050-4327516,1994-01-10,BA in physics,2022-10-14
359581477,Tal,Zohar,tal_zohar@gmail.com,057-0257474,2001-04-01,BA in biology,2021-07-16
346599400,Rotem,Assouline,rotem_assouline@gmail.com,051-9712186,2000-09-21,BA in engineering,2024-10-23
337786669,Adam,Shamir,adam04shamir@jct.ac.il,050-7998706,2004-08-16,MA in neurology,2020-07-25
217980747,Ofir,Elias,ofir_elias00@gmail.com,053-3694715,2000-09-06,BA in english,2020-10-06
268645900,Ido,Revivo,ido01revivo@gmail.com,052-2916398,2001-09-08,MA in astronomy,2023-07-16
345246540,Shaked,Baruch,shaked_baruch@jct.ac.il,054-7760052,1989-09-19,BA in neurology,2023-10-27
262962038,Ori,Assouline,ori98assouline@jct.ac.il,052-6179557,1998-01-11,MA in psychology,2021-03-17
261072417,Itay,Stern,itay_stern95@jct.ac.il,059-6607170,1995-04-12,BA in psychology,2023-03-27
292652864,Rotem,Rafael,rotem_rafael01@jct.ac.il,052-6223385,2001-07-17,MA in psychology,2024-03-12
336599873,Asaf,Fisher,asaf_fisher@gmail.com,052-4697218,1982-02-09,MA in ecology,2024-03-29
332642172,David,Rosen,david_rosen00@gmail.com,054-6391377,2000-02-11,BA in astronomy,2023-10-22
337583710,Inbar,Peretz,inbar_peretz@jct.ac.il,053-6620705,2001-01-30,BA in cardiology,2022-10-23
286255567,Dean,Levi,dean95levi@jct.ac.il,052-2065331,1995-12-22,MA in math,2021-08-07
294288204,Abigail,Fisher,abigail_fisher99@gmail.com,057-2564367,1999-11-21,BA in physics,2024-08-05
315846659,Roni,Gross,roni_gross94@jct.ac.il,054-8546603,1994-12-02,MA in cardiology,2023-07-03
326809365,Inbar,Sabag,inbar_sabag@gmail.com,055-4564251,1981-08-12,BA in cardiology,2021-10-30
228514006,Niv,Stern,niv_stern@gmail.com,055-8942778,1998-01-03,BA in economics,2021-07-13
350528360,Eli,Ziv,eli83ziv@gmail.com,055-8837460,1983-11-01,BA in psychology,2020-07-30
261662589,Ron,Shamir,ron05shamir@jct.ac.il,052-4786614,2005-12-03,MA in neurology,2023-10-20
342115052,Itay,Ashkenazi,itay01ashkenazi@gmail.com,053-3252570,2001-07-11,MA in biology,2022-10-08
356488544,Guy,Danon,guy_danon@gmail.com,051-7194996,1985-12-14,MA in anthropology,2021-10-14
206993263,Eli,Rosen,eli_rosen92@jct.ac.il,055-6909862,1992-06-09,MA in biology,2024-08-09
211592779,Tamar,Gross,tamar_gross95@gmail.com,051-3647250,1995-05-13,BA in computer science,2023-03-08
270576028,Raz,Sabag,raz97sabag@gmail.com,057-2890420,1997-04-14,MA in geographics,2020-08-29
374669000,Alon,Assouline,alon85assouline@jct.ac.il,058-7202539,1985-07-16,MA in math,2024-03-03
397991928,Shira,Avraham,shira_avraham85@gmail.com,057-6151491,1985-10-05,BA in sociology,2020-07-01
392615423,Asaf,Koren,asaf_koren@jct.ac.il,050-6620118,1989-06-07,MA in anthropology,2023-03-30
379637036,Michael,Ben-David,michael_ben-david99@jct.ac.il,053-4542666,1999-09-22,MA in astronomy,2020-08-01
356361931,Bar,Dagan,bar_dagan@gmail.com,056-2735851,1983-06-22,MA in geographics,2020-08-12
231847088,Niv,Tzur,niv85tzur@jct.ac.il,059-6063507,1985-02-08,MA in biology,2024-07-12
386101422,Eli,Ben-Shitrit,eli_ben-shitrit85@gmail.com,054-6438178,1985-06-13,MA in english,2020-03-16
362615080,Carmel,Menahem,carmel_menahem01@gmail.com,057-2317725,2001-08-04,BA in neurology,2022-03-16
224797415,Sagi,Revivo,sagi92revivo@jct.ac.il,054-4834398,1992-11-21,MA in geographics,2022-08-12
220110373,Mor,Ben-Ari,mor_ben-ari@jct.ac.il,058-9355844,2005-12-13,MA in history,2023-07-14
280948654,Carmel,Tzur,carmel_tzur91@gmail.com,059-2733051,1991-08-30,MA in anthropology,2023-08-29
236625356,Yael,Malul,yael_malul@jct.ac.il,058-4463722,1987-11-13,MA in history,2021-08-05
212876908,Abigail,Solomon,abigail91solomon@gmail.com,057-1090465,1991-10-28,MA in neurology,2021-08-06
309818730,Eli,Ashkenazi,eli_ashkenazi01@jct.ac.il,051-1088798,2001-05-23,BA in sociology,2021-07-28
331464123,Yael,Menahem,yael86menahem@gmail.com,057-1811655,1986-05-10,MA in theatre,2021-10-15
301926747,Yael,Kramer,yael_kramer94@gmail.com,058-1487823,1994-09-15,BA in biology,2020-10-28
