Librarian_id,Librarian_first_name,Librarian_last_name,Email,Phone,Librarian_birth_date,Hire_date
263582710,Dana,Revivo,dana74revivo@gmail.com,057-0437543,1974-02-18,2022-06-08
263340143,Sarit,Bernstein,sarit_bernstein@gmail.com,055-1312304,1987-01-23,2015-06-21
336625082,Tal,Zohar,tal66zohar@gmail.com,055-4353310,1966-09-27,2022-08-09
238861546,Michael,Saban,michael_saban60@gmail.com,050-4816828,1960-05-09,2010-09-16
327109013,Dana,Cohen,dana_cohen@gmail.com,053-3466401,1990-10-17,2016-07-22
247316201,Shahar,Katz,shahar_katz99@gmail.com,056-6293655,1999-12-02,2023-08-29
264368390,Ori,Avraham,ori71avraham@gmail.com,057-5217578,1971-04-02,2012-06-09
315448548,Adi,Ben-Shitrit,adi64ben-shitrit@jct.ac.il,056-9827922,1964-06-20,1984-12-28
263996035,Jonathan,Fisher,jonathan_fisher93@gmail.com,050-1524950,1993-12-30,2017-09-02
230356354,Gal,Almog,gal_almog@jct.ac.il,052-7119909,1996-07-27,2018-09-20
305606196,Daniel,Danon,daniel_danon63@jct.ac.il,051-6831841,1963-06-28,2020-12-05
356670364,Noa,Zeltser,noa73zeltser@jct.ac.il,054-4868572,1973-11-18,2016-09-14
378822233,Liam,Mizrahi,liam03mizrahi@jct.ac.il,056-8506267,2003-09-07,2023-08-12
209347681,Bar,Avitan,bar90avitan@jct.ac.il,058-1533270,1990-05-22,2014-05-04
338387525,Shira,Bachar,shira_bachar@gmail.com,052-6564800,1996-06-17,2023-07-07
311782056,Liam,Zohar,liam81zohar@gmail.com,056-7106812,1981-05-23,2021-03-17
374830776,Noam,Menash,noam_menash81@jct.ac.il,052-7821399,1981-06-10,2012-03-23
398864504,Ron,Finkelstein,ron_finkelstein@jct.ac.il,055-1783711,1976-05-12,2001-05-07
250913167,Tal,Fisher,tal_fisher@jct.ac.il,056-6296167,1974-06-09,1996-06-18
343626172,Adam,Dagan,adam87dagan@gmail.com,055-4076927,1987-08-16,2022-06-25
362268922,Alon,Solomon,alon70solomon@gmail.com,054-1262761,1970-07-02,2018-06-09
394294102,Niv,Menash,niv_menash67@gmail.com,056-8743297,1967-11-23,2023-06-15
265299792,Dean,Herzog,dean_herzog@jct.ac.il,050-3119183,1960-03-17,2000-05-06
322215724,Tal,Tayeb,tal88tayeb@gmail.com,050-4971557,1988-12-25,2014-08-06
306192741,Itay,Elias,itay_elias82@jct.ac.il,058-6538401,1982-01-26,2023-02-25
387683428,Yael,Dagan,yael_dagan@jct.ac.il,056-0983587,1982-11-06,2014-03-18
309168086,Liam,Saban,liam_saban87@gmail.com,057-3016722,1987-12-02,2008-02-18
397795675,Yoav,Ben-Ari,yoav62ben-ari@gmail.com,058-3258203,1962-07-15,1982-02-10
280308818,Mor,Assouline,mor_assouline83@jct.ac.il,051-0608265,1983-01-12,2018-08-16
211269576,Dana,Ben-Shitrit,dana_ben-shitrit75@jct.ac.il,059-3167094,1975-04-05,2012-11-08
215996018,Dean,Gross,dean67gross@jct.ac.il,051-3863672,1967-07-26,2011-03-30
288004336,Ido,Shamir,ido_shamir@jct.ac.il,059-0348250,1976-09-26,2010-03-26
363189945,Gal,Finkelstein,gal81finkelstein@jct.ac.il,055-9662213,1981-11-03,2023-05-31
270296197,Sagi,Avraham,sagi73avraham@jct.ac.il,059-3209570,1973-10-17,1999-06-17
279342661,Mor,Menahem,mor90menahem@jct.ac.il,055-0504589,1990-10-25,2022-07-03
230006371,Tal,Zohar,tal_zohar91@gmail.com,050-3788218,1991-08-28,2012-03-21
224484428,Maya,Sabag,maya91sabag@gmail.com,055-0102813,1991-04-09,2016-11-22
313313090,Yael,Kramer,yael80kramer@jct.ac.il,052-3617353,1980-06-24,2012-03-21
328727094,Oren,Koren,oren_koren@jct.ac.il,056-6436039,1971-03-07,2007-06-28
312000334,Shahar,Kahana,shahar_kahana86@jct.ac.il,053-9453867,1986-04-16,2021-06-24
332663491,Jonathan,Fisher,jonathan_fisher00@jct.ac.il,053-4492176,2000-03-15,2020-11-25
283230282,Inbar,Avitan,inbar80avitan@gmail.com,056-0364706,1980-08-06,2012-05-24
371954678,Sarit,Ben-Shitrit,sarit_ben-shitrit02@jct.ac.il,055-6074274,2002-06-22,2023-01-30
204153969,Amit,Ziv,amit71ziv@gmail.com,052-6245969,1971-02-25,2013-08-17
201226883,Yael,Ben-David,yael_ben-david93@jct.ac.il,058-8018145,1993-11-13,2024-07-05
329222087,Noa,Revivo,noa_revivo@gmail.com,059-9284909,1972-01-03,1993-12-25
205161656,Yuval,Ziv,yuval_ziv@gmail.com,051-9408573,1993-04-21,2015-06-24
329529051,Liam,Baruch,liam_baruch68@gmail.com,059-9791641,1968-09-15,2011-11-11
343603908,Almog,Zohar,almog_zohar97@gmail.com,053-4249391,1997-06-13,2018-08-21
253940100,Dana,Sabag,dana_sabag95@jct.ac.il,055-1746219,1995-06-08,2023-07-24
211343306,Tomer,Sabag,tomer71sabag@gmail.com,059-1862318,1971-08-25,2011-06-27
216128694,Mor,Menash,mor95menash@gmail.com,053-8589970,1995-10-06,2019-08-21
385091780,Carmel,Biton,carmel_biton77@gmail.com,053-8560656,1977-02-06,2008-06-21
258688852,Ofir,Menash,ofir_menash@gmail.com,054-8220580,1971-01-22,2004-04-08
361196652,Shaked,Ben-Ari,shaked85ben-ari@jct.ac.il,057-5402692,1985-03-21,2017-12-13
326110640,Gefen,Almog,gefen_almog70@gmail.com,056-2922155,1970-03-22,2022-02-15
300165255,Mor,Neumann,mor_neumann@jct.ac.il,053-9782359,1974-02-14,1996-07-26
327100566,Ido,Herzog,ido_herzog70@gmail.com,055-8268417,1970-11-29,2005-07-18
244414132,Oren,Baruch,oren_baruch00@jct.ac.il,052-8267327,2000-10-26,2022-01-21
314782657,Bar,Cohen,bar_cohen70@jct.ac.il,059-9642175,1970-07-15,1991-07-06
318080587,Alon,Shamir,alon_shamir94@jct.ac.il,054-3218808,1994-06-26,2019-07-21
371638669,Guy,Malul,guy_malul60@jct.ac.il,059-7577657,1960-11-15,2008-11-16
301307625,Rotem,Zohar,rotem_zohar63@gmail.com,052-5578086,1963-05-12,1999-09-17
281471201,Eli,Tayeb,eli02tayeb@jct.ac.il,054-8539377,2002-07-05,2023-06-27
395868615,Adam,Menahem,adam97menahem@jct.ac.il,051-1887623,1997-11-23,2023-08-17
272834128,Yael,Ben-Shitrit,yael_ben-shitrit@jct.ac.il,054-7095370,1988-07-26,2011-06-15
200851160,Mor,Sabag,mor_sabag@gmail.com,050-6158349,1981-02-09,2006-04-14
206694648,Tal,Assouline,tal_assouline@jct.ac.il,052-3045067,1981-07-20,2024-11-28
382998003,Rotem,Ashkenazi,rotem96ashkenazi@gmail.com,059-3957857,1996-10-26,2021-05-18
343990297,Niv,Zeltser,niv_zeltser65@gmail.com,055-0051223,1965-06-27,2022-12-30
282181411,Yael,Dagan,yael_dagan74@gmail.com,056-4978275,1974-10-17,2002-11-18
260056007,Adi,Assouline,adi_assouline00@jct.ac.il,058-6886357,2000-01-29,2020-11-10
377486550,Yael,Almog,yael88almog@gmail.com,059-6632433,1988-09-05,2015-05-18
370320665,Daniel,Koren,daniel_koren00@jct.ac.il,056-6948749,2000-09-09,2023-06-29
282909407,Roni,Eliakim,roni82eliakim@gmail.com,051-3555437,1982-08-18,2009-05-22
386513287,Noam,Tzur,noam_tzur@gmail.com,055-2436997,1977-09-12,2020-07-21
326674793,Yael,Gross,yael_gross91@gmail.com,050-6335981,1991-02-23,2014-06-28
203027586,Ofir,Barak,ofir_barak77@gmail.com,053-6633734,1977-01-04,1997-06-09
268541885,Shira,Barak,shira_barak@gmail.com,051-7832456,1961-08-19,2002-10-17
315711143,Dana,Barak,dana_barak@jct.ac.il,053-0126415,1998-04-03,2022-05-14
261486492,Bar,Dayan,bar_dayan59@jct.ac.il,050-3671199,1959-06-26,2014-07-02
301452777,Gefen,Zeltser,gefen88zeltser@jct.ac.il,058-2087455,1988-05-31,2008-09-03
219037645,Yoav,Ziv,yoav99ziv@jct.ac.il,051-0405887,1999-11-02,2022-01-15
305539405,Tamar,Menahem,tamar_menahem@jct.ac.il,057-1088917,1969-09-30,2014-07-13
272134974,Yuval,Zohar,yuval79zohar@gmail.com,051-2809760,1979-01-29,2002-12-24
253658694,Adam,Dagan,adam_dagan@jct.ac.il,054-0655022,1977-08-18,2007-04-11
344036579,Asaf,Avitan,asaf_avitan79@gmail.com,053-3190436,1979-12-15,2008-12-22
381043645,Roni,Dagan,roni_dagan60@gmail.com,050-5404524,1960-11-14,2024-02-08
363657867,Sarit,Ashkenazi,sarit95ashkenazi@jct.ac.il,050-0413901,1995-01-08,2023-10-25
266085976,Sarit,Bernstein,sarit_bernstein@jct.ac.il,052-3262545,1973-07-31,1997-04-26
275071561,Tal,Solomon,tal93solomon@gmail.com,050-1013767,1993-10-27,2020-11-07
269170593,Yael,Peretz,yael_peretz@jct.ac.il,057-6887075,1996-09-23,2016-09-16
367901899,Jonathan,Zeltser,jonathan_zeltser90@gmail.com,055-9985833,1990-07-13,2011-07-21
262603137,Adi,Ben-David,adi_ben-david86@gmail.com,055-3592568,1986-05-30,2024-01-05
329193346,Roni,Fisher,roni_fisher@gmail.com,059-3880026,1996-11-19,2021-12-25
374983211,Liam,Sabag,liam92sabag@gmail.com,056-3863414,1992-11-15,2016-06-24
397139437,Sagi,Katz,sagi01katz@gmail.com,059-3149283,2001-01-06,2022-03-02
314552597,Ofir,Levi,ofir_levi@gmail.com,056-7106535,1966-11-15,2024-07-03
375383155,Jonathan,Avraham,jonathan_avraham@jct.ac.il,056-4913429,2003-06-18,2024-05-27
220538110,Shaked,Revivo,shaked_revivo82@gmail.com,053-8232715,1982-09-01,2019-03-11
294120373,Asaf,Ben-David,asaf_ben-david@gmail.com,050-3652629,1972-03-25,2021-08-26
270268295,Inbar,Solomon,inbar_solomon86@gmail.com,053-4678947,1986-06-26,2019-09-03
209926450,Raz,Ben-Shitrit,raz69ben-shitrit@jct.ac.il,054-8242201,1969-10-20,2017-06-06
219845013,Gefen,Zeltser,gefen_zeltser88@jct.ac.il,058-1358130,1988-02-19,2019-06-24
221873193,Sarit,Cohen,sarit74cohen@jct.ac.il,051-0050291,1974-11-07,2018-11-25
213253230,Shahar,Malul,shahar_malul@jct.ac.il,052-0528620,1965-03-08,1994-08-01
391066552,Eli,Zohar,eli_zohar@jct.ac.il,059-9947411,1968-12-08,1997-01-20
380683862,Adam,Herzog,adam80herzog@gmail.com,055-5967947,1980-07-23,2001-11-01
305564643,Mor,Solomon,mor_solomon@gmail.com,050-8737352,1979-09-13,2005-04-09
397599127,Abigail,Koren,abigail60koren@jct.ac.il,053-9912597,1960-08-29,2005-08-21
374362754,Roni,Revivo,roni93revivo@jct.ac.il,059-1015942,1993-04-04,2024-01-22
228565115,David,Ben-Ari,david98ben-ari@jct.ac.il,051-0301368,1998-05-12,2024-04-09
257019273,Eli,Avitan,eli59avitan@gmail.com,058-5349571,1959-01-25,2005-04-26
272950205,Guy,Rafael,guy_rafael@gmail.com,055-2595002,1965-09-24,2015-05-26
240447144,Shira,Tzur,shira93tzur@gmail.com,057-7914497,1993-02-10,2024-01-04
275973766,Oren,Eliakim,oren81eliakim@gmail.com,057-7287740,1981-08-19,2008-03-12
324849645,Alon,Revivo,alon83revivo@jct.ac.il,052-3803079,1983-11-01,2022-07-12
287396774,Niv,Fisher,niv_fisher96@gmail.com,054-6332907,1996-09-11,2017-04-04
268722105,Sarit,Zeltser,sarit_zeltser@jct.ac.il,059-3561892,1975-09-10,1999-07-12
273665802,Shahar,Fisher,shahar_fisher69@jct.ac.il,054-2232964,1969-03-24,1991-07-21
255595993,Alon,Ben-David,alon62ben-david@jct.ac.il,050-9078226,1962-10-21,2008-08-26
248942815,Itay,Kramer,itay_kramer@gmail.com,052-4860235,1967-12-03,2010-03-03
207094053,Shira,Mizrahi,shira62mizrahi@jct.ac.il,055-0002052,1962-12-19,1991-12-27
305749822,Inbar,Barak,inbar_barak@gmail.com,054-1445119,1998-05-12,2023-04-18
300221710,Ido,Friedman,ido_friedman@gmail.com,059-0733067,1965-05-17,1995-06-05
272854340,Michael,Zohar,michael_zohar73@gmail.com,059-1781672,1973-09-04,2016-12-07
318471364,Carmel,Kahana,carmel_kahana96@gmail.com,051-3188982,1996-08-23,2018-10-21
325460236,Yael,Biton,yael_biton@jct.ac.il,056-4421020,1960-12-29,1998-04-12
203821541,Guy,Friedman,guy_friedman59@gmail.com,059-0269756,1959-04-23,2000-01-19
202316642,Itay,Menahem,itay61menahem@jct.ac.il,052-3311026,1961-07-19,1987-03-16
321425431,Yoav,Saban,yoav71saban@gmail.com,055-2800103,1971-12-23,2002-12-08
294799614,Eli,Mizrahi,eli96mizrahi@jct.ac.il,057-3508907,1996-01-08,2020-05-01
343291431,Sagi,Herzog,sagi_herzog00@jct.ac.il,058-3712620,2000-06-19,2023-10-03
275273902,Tomer,Tayeb,tomer67tayeb@jct.ac.il,058-2843654,1967-07-06,2023-01-08
202809745,Raz,Saban,raz_saban80@gmail.com,058-6374385,1980-01-25,2023-06-29
275518793,Dana,Menahem,dana_menahem60@jct.ac.il,059-0662590,1960-06-06,2006-06-15
377031109,Gabriel,Avitan,gabriel_avitan@jct.ac.il,058-7045549,1980-03-27,2000-04-03
272126426,Abigail,Shaked,abigail_shaked64@gmail.com,054-7342767,1964-03-23,2011-09-17
398637793,Eli,Zohar,eli_zohar@gmail.com,056-2846152,1990-06-04,2018-10-29
391388998,Sarit,Koren,sarit_koren@jct.ac.il,054-7532575,1999-10-02,2020-09-14
280326901,Sagi,Dayan,sagi_dayan83@jct.ac.il,057-5161533,1983-12-02,2024-06-13
277425112,Eli,Elias,eli_elias62@gmail.com,054-6213538,1962-01-29,2000-03-16
370173353,Hila,Ziv,hila_ziv@jct.ac.il,055-2935037,1968-10-23,2011-10-01
228280574,Sarit,Revivo,sarit74revivo@gmail.com,051-9712170,1974-11-19,2023-08-07
272539917,Raz,Finkelstein,raz_finkelstein@gmail.com,054-2905953,1984-01-27,2016-07-06
273385716,Mor,Zohar,mor_zohar96@gmail.com,057-1607529,1996-04-19,2016-10-25
373430313,Liam,Shaked,liam_shaked82@gmail.com,056-9791008,1982-10-25,2016-01-28
387729908,Guy,Elias,guy_elias@gmail.com,050-3022076,1990-05-25,2017-07-29
292019064,Yael,Fisher,yael92fisher@jct.ac.il,053-9540031,1992-07-28,2013-06-11
347495715,Oren,Bernstein,oren_bernstein02@jct.ac.il,052-5888836,2002-09-17,2022-10-31
203922083,Liam,Stern,liam92stern@jct.ac.il,051-5844287,1992-08-31,2015-03-15
271057887,Ofir,Shaked,ofir_shaked74@jct.ac.il,057-1182305,1974-12-16,2011-04-12
226635274,Gal,Menash,gal_menash@jct.ac.il,058-6534417,1989-08-11,2024-12-16
201154135,Raz,Shaked,raz95shaked@jct.ac.il,055-1181809,1995-07-16,2024-05-21
230250847,Sagi,Neumann,sagi96neumann@jct.ac.il,050-2929790,1996-11-21,2019-06-24
273731877,Tomer,Sabag,tomer_sabag66@gmail.com,053-8856661,1966-06-22,1991-04-06
352058077,Noa,Almog,noa_almog@jct.ac.il,058-3606733,1976-09-11,2002-06-29
235274826,Noa,Barak,noa_barak84@jct.ac.il,053-9305299,1984-02-26,2016-06-06
373952407,Alon,Rosen,alon_rosen89@jct.ac.il,054-5334611,1989-08-03,2019-02-26
206653354,Gabriel,Dayan,gabriel_dayan69@gmail.com,053-7955643,1969-02-14,2000-03-25
394401277,Sagi,Avraham,sagi_avraham@gmail.com,059-3178391,1984-05-29,2004-06-04
346059678,Noa,Katz,noa74katz@jct.ac.il,055-9457506,1974-04-05,2018-08-11
259978567,Sagi,Malul,sagi_malul94@gmail.com,057-5409405,1994-08-07,2024-09-07
380598680,Shaked,Almog,shaked_almog@jct.ac.il,055-7768974,1987-08-27,2022-09-19
273386110,Gal,Rosen,gal_rosen67@jct.ac.il,058-1796683,1967-12-15,2017-05-08
251020210,Shaked,Avraham,shaked62avraham@gmail.com,054-5800272,1962-12-05,2001-09-09
286218151,Mor,Tayeb,mor_tayeb@gmail.com,056-6705607,1994-12-30,2017-09-11
372004424,Oren,Neumann,oren_neumann@jct.ac.il,055-3574156,1993-02-12,2018-04-20
205997588,Jonathan,Zohar,jonathan_zohar@jct.ac.il,055-7504714,1999-02-12,2023-01-23
356568279,Abigail,Mizrahi,abigail67mizrahi@gmail.com,050-4033877,1967-09-18,1988-08-19
397996240,Gal,Assouline,gal_assouline68@gmail.com,052-3920851,1968-11-17,1990-07-26
394518286,Amit,Avraham,amit_avraham@gmail.com,050-1398807,1997-08-20,2022-02-25
342406105,Adam,Malul,adam84malul@gmail.com,055-1032928,1984-01-22,2015-09-22
266146166,Adam,Menahem,adam_menahem@jct.ac.il,054-1327046,1999-01-28,2020-02-09
251201281,Guy,Assouline,guy_assouline@gmail.com,058-8352730,1977-05-18,2021-12-26
316340561,Inbar,Rosen,inbar_rosen@gmail.com,053-9068466,1964-07-22,2000-10-07
385533765,Dean,Neumann,dean_neumann63@gmail.com,056-9567167,1963-12-10,1985-11-28
334260312,Hila,Zeltser,hila_zeltser@jct.ac.il,056-1178707,1986-07-10,2021-08-03
243991932,Alon,Fisher,alon_fisher81@gmail.com,053-8312644,1981-07-29,2019-09-11
388993412,Dean,Mizrahi,dean_mizrahi@gmail.com,052-8725327,2003-02-19,2023-09-25
255586604,Gefen,Cohen,gefen68cohen@jct.ac.il,055-7014192,1968-01-16,1992-12-29
395540990,Tal,Katz,tal59katz@jct.ac.il,053-0561072,1959-04-26,1995-03-14
226642718,Amit,Zeltser,amit_zeltser81@jct.ac.il,059-5642327,1981-11-20,2005-07-04
238756902,Shaked,Eliakim,shaked_eliakim88@jct.ac.il,058-4170189,1988-10-17,2012-05-04
200531127,Almog,Revivo,almog_revivo92@jct.ac.il,055-9198007,1992-01-27,2016-01-06
269548038,Alon,Malul,alon_malul79@gmail.com,055-5195985,1979-10-11,2020-02-17
340042613,Bar,Avitan,bar_avitan@jct.ac.il,055-9784111,1966-02-19,2005-11-27
261189112,Maya,Shamir,maya_shamir@jct.ac.il,051-5770824,1989-02-08,2018-07-28
227864667,Tal,Bernstein,tal_bernstein@jct.ac.il,051-3996641,1971-06-24,2004-08-28
339411357,Shira,Biton,shira02biton@gmail.com,058-8366211,2002-06-26,2022-01-25
331803783,Yael,Bernstein,yael76bernstein@jct.ac.il,053-0179128,1976-01-20,2021-04-03
271395493,Jonathan,Sabag,jonathan71sabag@jct.ac.il,052-9940755,1971-09-07,2010-05-26
227543469,Niv,Ben-David,niv_ben-david74@jct.ac.il,053-8299945,1974-11-22,1994-02-16
396735086,Itay,Dagan,itay71dagan@gmail.com,056-5738795,1971-10-18,2014-07-13
355302167,Asaf,Zohar,asaf_zohar93@jct.ac.il,057-7495570,1993-06-17,2015-09-05
245463468,Adi,Almog,adi_almog@gmail.com,051-3669691,1983-07-02,2021-10-10
202213385,Yael,Ziv,yael_ziv@gmail.com,052-0225647,1994-11-18,2019-04-08
330212051,Guy,Ashkenazi,guy68ashkenazi@gmail.com,059-4033284,1968-12-15,2009-03-20
215129123,Inbar,Ben-David,inbar_ben-david@gmail.com,052-3004745,1961-04-03,1985-11-14
282648716,Gefen,Assouline,gefen66assouline@gmail.com,054-1353877,1966-04-11,2012-03-24
366964872,Guy,Ben-Shitrit,guy_ben-shitrit@jct.ac.il,059-5661026,1976-01-18,2001-09-20
392214409,Abigail,Zohar,abigail75zohar@gmail.com,054-6188801,1975-02-05,2015-01-02
201885886,Jonathan,Mizrahi,jonathan_mizrahi@jct.ac.il,052-3965662,1983-06-16,2006-05-12
287955504,Niv,Ben-Ari,niv_ben-ari93@gmail.com,050-1378839,1993-04-18,2021-01-02
303663751,Adi,Cohen,adi60cohen@gmail.com,056-6768434,1960-10-01,1993-01-31
250544251,Ido,Danon,ido_danon92@jct.ac.il,050-1035879,1992-05-18,2020-12-13
319608246,Ron,Zeltser,ron_zeltser81@gmail.com,054-8895835,1981-12-20,2017-05-08
256625955,Michael,Berkowitz,michael62berkowitz@gmail.com,052-0896676,1962-04-14,1989-11-10
250985413,Jonathan,Ben-Ari,jonathan78ben-ari@jct.ac.il,056-1146637,1978-04-12,2024-08-24
250628864,Tamar,Saban,tamar_saban86@jct.ac.il,055-8801136,1986-05-01,2018-06-29
284201662,Almog,Berkowitz,almog_berkowitz97@gmail.com,052-9913074,1997-09-02,2022-03-11
368812814,Ido,Kramer,ido_kramer71@gmail.com,056-9067608,1971-01-28,2005-02-02
278304159,Shahar,Shamir,shahar83shamir@gmail.com,054-4404184,1983-02-16,2006-12-01
283510501,David,Dayan,david74dayan@jct.ac.il,054-4674242,1974-09-02,2011-04-03
313570137,Tamar,Fisher,tamar59fisher@jct.ac.il,051-4513194,1959-12-01,2015-03-07
329554125,Abigail,Gross,abigail01gross@jct.ac.il,053-6542052,2001-08-10,2021-07-08
327972550,Ido,Dayan,ido77dayan@gmail.com,050-6330004,1977-06-14,2013-12-05
297170813,Bar,Rafael,bar_rafael@jct.ac.il,055-8553783,1978-10-10,2007-11-12
360801609,Shaked,Gross,shaked84gross@jct.ac.il,057-5653861,1984-07-07,2011-10-01
324260777,Gal,Almog,gal90almog@gmail.com,054-7814503,1990-09-06,2010-05-18
301317277,Yoav,Shaked,yoav68shaked@gmail.com,054-3304750,1968-07-08,1999-06-23
328470141,Tal,Ben-David,tal_ben-david@jct.ac.il,052-7566921,1960-08-07,1995-05-29
206257180,Dean,Ben-Ari,dean_ben-ari91@gmail.com,059-0532343,1991-10-11,2018-09-17
298319781,Liam,Cohen,liam97cohen@gmail.com,053-2917351,1997-06-09,2020-09-05
272561044,Oren,Dagan,oren_dagan@jct.ac.il,057-4737281,1982-06-08,2021-03-19
328778634,Yael,Sabag,yael_sabag@jct.ac.il,054-7010486,2002-05-26,2024-01-26
229568209,Liam,Menash,liam_menash01@jct.ac.il,053-3974047,2001-07-08,2022-03-08
376831376,Yuval,Baruch,yuval_baruch@gmail.com,051-6696895,1971-01-25,2000-09-02
352080659,Adam,Shaked,adam88shaked@gmail.com,056-5952776,1988-10-09,2021-06-08
386152789,Liam,Biton,liam_biton88@jct.ac.il,059-5837467,1988-10-11,2015-05-31
221393697,Daniel,Malul,daniel_malul84@jct.ac.il,051-4306252,1984-05-10,2009-07-04
334800141,Dana,Rosen,dana95rosen@jct.ac.il,053-4217576,1995-06-23,2018-03-04
368864328,Rotem,Stern,rotem_stern@gmail.com,052-7781562,1978-08-03,2020-01-18
246512818,Niv,Dagan,niv_dagan81@gmail.com,050-6281892,1981-02-16,2006-10-26
381073709,Almog,Shaked,almog_shaked@jct.ac.il,058-2820799,1968-05-05,2024-04-19
231245507,Ori,Elias,ori_elias65@jct.ac.il,054-9858567,1965-04-26,1989-04-05
204469027,Gabriel,Malul,gabriel98malul@gmail.com,057-0272366,1998-06-25,2021-10-21
390969129,Roni,Kahana,roni_kahana66@jct.ac.il,058-2170425,1966-01-10,2003-12-07
256528688,Amit,Tayeb,amit_tayeb@gmail.com,053-3197978,1969-02-16,1998-05-26
213790827,Inbar,Eliakim,inbar_eliakim@gmail.com,055-0615670,1977-08-09,2011-07-29
279782528,Raz,Assouline,raz_assouline@gmail.com,054-7979852,1983-06-03,2013-02-28
363419417,Dana,Sabag,dana_sabag79@gmail.com,056-2316749,1979-05-26,2024-08-29
256757899,Shira,Kahana,shira94kahana@gmail.com,052-6777248,1994-10-06,2019-03-19
316346196,Carmel,Peretz,carmel64peretz@jct.ac.il,050-5539866,1964-10-14,2024-03-26
304975725,Adi,Fisher,adi_fisher79@jct.ac.il,058-2304741,1979-07-31,2011-06-20
312620313,Tomer,Mizrahi,tomer_mizrahi75@jct.ac.il,059-6752366,1975-08-14,2010-09-10
269026035,Abigail,Finkelstein,abigail_finkelstein01@jct.ac.il,053-1904007,2001-12-15,2022-02-09
359518008,Itay,Malul,itay65malul@jct.ac.il,052-7690946,1965-09-27,2016-06-13
254629025,Adi,Ben-Ari,adi_ben-ari@jct.ac.il,057-2751879,1966-11-14,2004-01-29
219475845,Sarit,Almog,sarit90almog@jct.ac.il,054-9040310,1990-10-28,2020-09-03
275888410,Liam,Solomon,liam_solomon@gmail.com,052-2228545,1959-11-23,1982-07-18
287850242,Shahar,Shamir,shahar_shamir@jct.ac.il,053-5902521,1985-10-27,2016-06-17
289167405,Inbar,Zohar,inbar_zohar01@gmail.com,055-1743070,2001-02-02,2024-09-14
334240645,Noam,Herzog,noam74herzog@jct.ac.il,051-4974832,1974-11-30,2010-10-12
224242560,Shaked,Shamir,shaked_shamir71@gmail.com,052-8263324,1971-04-13,1998-01-28
340115104,Abigail,Friedman,abigail69friedman@jct.ac.il,058-1884012,1969-12-15,2008-06-06
229775739,Ido,Bachar,ido_bachar@jct.ac.il,050-8438734,1976-06-15,2020-08-23
387341787,Gabriel,Shamir,gabriel_shamir76@jct.ac.il,059-8879757,1976-03-08,2000-05-30
308370048,Adi,Shaked,adi62shaked@gmail.com,054-3855521,1962-10-07,1988-11-26
320635840,Hila,Ashkenazi,hila74ashkenazi@jct.ac.il,051-8652624,1974-08-27,2023-09-26
282902311,Niv,Cohen,niv85cohen@jct.ac.il,059-5186785,1985-09-10,2009-11-16
323508291,Gal,Kahana,gal_kahana02@gmail.com,053-6303441,2002-07-09,2022-05-12
374876282,Liam,Shamir,liam86shamir@gmail.com,058-5527423,1986-07-24,2019-03-06
354443129,Mor,Gross,mor85gross@jct.ac.il,058-2445833,1985-11-06,2006-03-11
314024977,David,Saban,david59saban@jct.ac.il,056-8520092,1959-04-21,2009-09-01
220550354,Adi,Kramer,adi_kramer@jct.ac.il,051-8613485,1970-07-23,2009-01-15
