Author_id,Author_academic_title,Author_first_name,Author_last_name,Author_birth_date,Nationality,Biography
3026,Prof.,Florida,Rousel,05-11-1945,Indonesia,"Prof. Florida Rousel is a renowned author from Indonesia, born on 05-11-1945. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3027,Dr.,Auria,Attard,04-08-1940,Russia,"Dr. Auria Attard is a renowned author from Russia, born on 04-08-1940. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3028,Mr.,Aggi,Bartleet,05-01-1921,Uzbekistan,"Mr. Aggi Bartleet is a renowned author from Uzbekistan, born on 05-01-1921. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3029,Prof.,Luce,Townrow,03-03-1925,Colombia,"Prof. Luce Townrow is a renowned author from Colombia, born on 03-03-1925. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3030,Mr.,Colet,Mumberson,05-11-1940,South Korea,"Mr. Colet Mumberson is a renowned author from South Korea, born on 05-11-1940. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3031,Mr.,Annalee,Andreucci,28-10-1950,China,"Mr. Annalee Andreucci is a renowned author from China, born on 28-10-1950. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3032,Dr.,Corney,Valenti,15-01-1948,Mexico,"Dr. Corney Valenti is a renowned author from Mexico, born on 15-01-1948. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3033,Dr.,Sarge,Garbutt,04-03-1945,China,"Dr. Sarge Garbutt is a renowned author from China, born on 04-03-1945. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3034,Dr.,Lyndel,Tumelty,11-07-1922,Japan,"Dr. Lyndel Tumelty is a renowned author from Japan, born on 11-07-1922. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3035,Prof.,Carmine,Gubbins,14-06-1940,China,"Prof. Carmine Gubbins is a renowned author from China, born on 14-06-1940. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3036,Dr.,Dorothy,MacMeekan,25-06-1938,Philippines,"Dr. Dorothy MacMeekan is a renowned author from Philippines, born on 25-06-1938. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3037,Prof.,Heidie,Biggam,05-06-1923,Moldova,"Prof. Heidie Biggam is a renowned author from Moldova, born on 05-06-1923. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3038,Dr.,Brook,Cunnane,01-02-1942,Sierra Leone,"Dr. Brook Cunnane is a renowned author from Sierra Leone, born on 01-02-1942. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3039,Mr.,Michal,Chafer,08-06-1935,Portugal,"Mr. Michal Chafer is a renowned author from Portugal, born on 08-06-1935. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3040,Mr.,Vivie,Slocom,27-04-1931,Russia,"Mr. Vivie Slocom is a renowned author from Russia, born on 27-04-1931. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3041,Prof.,Antonius,Grunnell,08-02-1928,Uzbekistan,"Prof. Antonius Grunnell is a renowned author from Uzbekistan, born on 08-02-1928. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3042,Mr.,Dahlia,Limpertz,10-09-1942,Philippines,"Mr. Dahlia Limpertz is a renowned author from Philippines, born on 10-09-1942. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3043,Mr.,Alika,Rugiero,28-08-1947,Czech Republic,"Mr. Alika Rugiero is a renowned author from Czech Republic, born on 28-08-1947. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3044,Mr.,Bernadene,Kitney,06-07-1924,Cyprus,"Mr. Bernadene Kitney is a renowned author from Cyprus, born on 06-07-1924. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3045,Dr.,Jim,Ponting,10-02-1939,United States,"Dr. Jim Ponting is a renowned author from United States, born on 10-02-1939. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3046,Dr.,Chick,Strugnell,26-04-1936,Kazakhstan,"Dr. Chick Strugnell is a renowned author from Kazakhstan, born on 26-04-1936. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3047,Prof.,Cammie,Duggan,20-02-1934,Portugal,"Prof. Cammie Duggan is a renowned author from Portugal, born on 20-02-1934. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3048,Mr.,Pauletta,Benedicto,04-02-1931,Armenia,"Mr. Pauletta Benedicto is a renowned author from Armenia, born on 04-02-1931. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3049,Prof.,Giorgia,Kempstone,25-05-1921,Colombia,"Prof. Giorgia Kempstone is a renowned author from Colombia, born on 25-05-1921. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3050,Mr.,Anna-diane,Dallicott,12-06-1936,Colombia,"Mr. Anna-diane Dallicott is a renowned author from Colombia, born on 12-06-1936. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3051,Dr.,Megen,Ormesher,03-07-1942,Nepal,"Dr. Megen Ormesher is a renowned author from Nepal, born on 03-07-1942. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3052,Prof.,Humfrey,Harses,23-10-1927,Canada,"Prof. Humfrey Harses is a renowned author from Canada, born on 23-10-1927. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3053,Mr.,Nichols,Giacopetti,28-09-1921,Vietnam,"Mr. Nichols Giacopetti is a renowned author from Vietnam, born on 28-09-1921. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3054,Dr.,Cheryl,Bicksteth,27-10-1937,Czech Republic,"Dr. Cheryl Bicksteth is a renowned author from Czech Republic, born on 27-10-1937. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3055,Dr.,Pam,Osgordby,14-04-1930,Philippines,"Dr. Pam Osgordby is a renowned author from Philippines, born on 14-04-1930. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3056,Mr.,Ibrahim,Sales,23-10-1927,China,"Mr. Ibrahim Sales is a renowned author from China, born on 23-10-1927. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3057,Dr.,Eliot,Ingerman,08-08-1950,China,"Dr. Eliot Ingerman is a renowned author from China, born on 08-08-1950. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3058,Prof.,Anjela,Voaden,14-06-1922,Brazil,"Prof. Anjela Voaden is a renowned author from Brazil, born on 14-06-1922. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3059,Dr.,Faulkner,Davage,05-04-1942,Russia,"Dr. Faulkner Davage is a renowned author from Russia, born on 05-04-1942. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3060,Dr.,Frankie,Doutch,28-11-1945,Poland,"Dr. Frankie Doutch is a renowned author from Poland, born on 28-11-1945. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3061,Dr.,Alexis,Waterman,03-06-1933,Argentina,"Dr. Alexis Waterman is a renowned author from Argentina, born on 03-06-1933. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3062,Dr.,Mozelle,Fuller,17-11-1929,Japan,"Dr. Mozelle Fuller is a renowned author from Japan, born on 17-11-1929. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3063,Dr.,Cordie,Addess,23-01-1946,United States,"Dr. Cordie Addess is a renowned author from United States, born on 23-01-1946. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3064,Prof.,Moll,Schindler,31-12-1941,Belgium,"Prof. Moll Schindler is a renowned author from Belgium, born on 31-12-1941. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3065,Dr.,Roxanne,Brugsma,09-04-1925,Thailand,"Dr. Roxanne Brugsma is a renowned author from Thailand, born on 09-04-1925. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3066,Mr.,Ellene,Coddrington,11-07-1942,Tunisia,"Mr. Ellene Coddrington is a renowned author from Tunisia, born on 11-07-1942. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3067,Dr.,Lynne,Pear,25-01-1932,Tunisia,"Dr. Lynne Pear is a renowned author from Tunisia, born on 25-01-1932. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3068,Dr.,Mort,Tewelson,08-02-1923,China,"Dr. Mort Tewelson is a renowned author from China, born on 08-02-1923. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3069,Dr.,Jacinda,Youthed,17-05-1936,Hungary,"Dr. Jacinda Youthed is a renowned author from Hungary, born on 17-05-1936. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3070,Dr.,Shermy,Gilbanks,28-04-1925,France,"Dr. Shermy Gilbanks is a renowned author from France, born on 28-04-1925. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3071,Dr.,Lisabeth,Urch,16-10-1941,Canada,"Dr. Lisabeth Urch is a renowned author from Canada, born on 16-10-1941. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3072,Prof.,Enoch,Mordin,27-04-1929,Libya,"Prof. Enoch Mordin is a renowned author from Libya, born on 27-04-1929. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3073,Prof.,Teddie,Stood,07-11-1928,China,"Prof. Teddie Stood is a renowned author from China, born on 07-11-1928. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3074,Mr.,Golda,Gwilliams,01-11-1935,Indonesia,"Mr. Golda Gwilliams is a renowned author from Indonesia, born on 01-11-1935. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3075,Prof.,Richy,Cattellion,31-03-1941,Palestinian Territory,"Prof. Richy Cattellion is a renowned author from Palestinian Territory, born on 31-03-1941. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3076,Prof.,Hermine,Looker,21-04-1923,Malawi,"Prof. Hermine Looker is a renowned author from Malawi, born on 21-04-1923. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3077,Mr.,Horacio,Udden,20-12-1947,Cyprus,"Mr. Horacio Udden is a renowned author from Cyprus, born on 20-12-1947. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3078,Prof.,Ches,Arrundale,21-10-1928,South Sudan,"Prof. Ches Arrundale is a renowned author from South Sudan, born on 21-10-1928. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3079,Prof.,Keen,Philcox,05-11-1924,China,"Prof. Keen Philcox is a renowned author from China, born on 05-11-1924. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3080,Prof.,Lorena,Dabling,16-11-1923,Kenya,"Prof. Lorena Dabling is a renowned author from Kenya, born on 16-11-1923. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3081,Dr.,Ingra,Fairlaw,19-03-1947,United States,"Dr. Ingra Fairlaw is a renowned author from United States, born on 19-03-1947. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3082,Mr.,Lyndell,Northedge,09-07-1946,Comoros,"Mr. Lyndell Northedge is a renowned author from Comoros, born on 09-07-1946. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3083,Dr.,Damaris,Bilby,19-08-1946,Sweden,"Dr. Damaris Bilby is a renowned author from Sweden, born on 19-08-1946. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3084,Dr.,Ethelind,Simester,22-01-1928,Dominican Republic,"Dr. Ethelind Simester is a renowned author from Dominican Republic, born on 22-01-1928. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3085,Prof.,Marty,Kissock,09-12-1926,Mexico,"Prof. Marty Kissock is a renowned author from Mexico, born on 09-12-1926. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3086,Prof.,Joice,Weine,12-01-1924,Pakistan,"Prof. Joice Weine is a renowned author from Pakistan, born on 12-01-1924. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3087,Dr.,Gordon,Maddison,01-12-1937,Russia,"Dr. Gordon Maddison is a renowned author from Russia, born on 01-12-1937. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3088,Mr.,Selia,Leslie,12-11-1929,Albania,"Mr. Selia Leslie is a renowned author from Albania, born on 12-11-1929. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3089,Prof.,Gil,Mattiessen,07-04-1925,Mozambique,"Prof. Gil Mattiessen is a renowned author from Mozambique, born on 07-04-1925. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3090,Prof.,Mariam,Irons,28-08-1921,Russia,"Prof. Mariam Irons is a renowned author from Russia, born on 28-08-1921. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3091,Prof.,Moreen,Reckless,07-11-1938,Burkina Faso,"Prof. Moreen Reckless is a renowned author from Burkina Faso, born on 07-11-1938. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3092,Dr.,Avictor,Peizer,14-11-1931,Pakistan,"Dr. Avictor Peizer is a renowned author from Pakistan, born on 14-11-1931. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3093,Dr.,Sullivan,Blacklawe,27-09-1947,China,"Dr. Sullivan Blacklawe is a renowned author from China, born on 27-09-1947. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3094,Mr.,Dulcie,Imason,15-08-1935,Ivory Coast,"Mr. Dulcie Imason is a renowned author from Ivory Coast, born on 15-08-1935. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3095,Prof.,Dex,McIlhagga,04-12-1948,Brazil,"Prof. Dex McIlhagga is a renowned author from Brazil, born on 04-12-1948. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3096,Mr.,Elyssa,Cahillane,05-10-1924,Myanmar,"Mr. Elyssa Cahillane is a renowned author from Myanmar, born on 05-10-1924. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3097,Mr.,Jeannine,Dy,13-11-1939,Canada,"Mr. Jeannine Dy is a renowned author from Canada, born on 13-11-1939. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3098,Dr.,Coreen,Duesberry,09-05-1936,China,"Dr. Coreen Duesberry is a renowned author from China, born on 09-05-1936. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3099,Dr.,Jermain,McLennan,11-03-1947,Albania,"Dr. Jermain McLennan is a renowned author from Albania, born on 11-03-1947. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3100,Dr.,Elberta,Chazette,30-08-1935,Indonesia,"Dr. Elberta Chazette is a renowned author from Indonesia, born on 30-08-1935. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3101,Prof.,Artemas,Smallcombe,11-03-1925,Russia,"Prof. Artemas Smallcombe is a renowned author from Russia, born on 11-03-1925. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3102,Dr.,Janenna,Glowacki,07-10-1943,Angola,"Dr. Janenna Glowacki is a renowned author from Angola, born on 07-10-1943. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3103,Mr.,Nicko,Harmour,24-01-1929,China,"Mr. Nicko Harmour is a renowned author from China, born on 24-01-1929. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3104,Mr.,Harlene,Cowpertwait,26-06-1933,Vietnam,"Mr. Harlene Cowpertwait is a renowned author from Vietnam, born on 26-06-1933. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3105,Dr.,Emalia,Borris,17-02-1948,Guyana,"Dr. Emalia Borris is a renowned author from Guyana, born on 17-02-1948. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3106,Prof.,Anselm,Relph,19-01-1941,Russia,"Prof. Anselm Relph is a renowned author from Russia, born on 19-01-1941. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3107,Mr.,Valry,Tommasi,06-11-1950,Belgium,"Mr. Valry Tommasi is a renowned author from Belgium, born on 06-11-1950. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3108,Prof.,Cicely,McMeekin,29-01-1934,China,"Prof. Cicely McMeekin is a renowned author from China, born on 29-01-1934. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3109,Mr.,Marleah,Sheehan,05-01-1946,Colombia,"Mr. Marleah Sheehan is a renowned author from Colombia, born on 05-01-1946. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3110,Mr.,Quinn,Ganter,27-07-1947,Brazil,"Mr. Quinn Ganter is a renowned author from Brazil, born on 27-07-1947. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3111,Dr.,Henry,Winchcombe,28-03-1923,Peru,"Dr. Henry Winchcombe is a renowned author from Peru, born on 28-03-1923. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3112,Dr.,Lyndy,Flew,11-08-1926,Thailand,"Dr. Lyndy Flew is a renowned author from Thailand, born on 11-08-1926. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3113,Mr.,Aubry,McClarence,06-02-1944,Finland,"Mr. Aubry McClarence is a renowned author from Finland, born on 06-02-1944. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3114,Mr.,Babbie,Laguerre,07-09-1940,United States,"Mr. Babbie Laguerre is a renowned author from United States, born on 07-09-1940. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3115,Mr.,Eolande,Immings,23-11-1925,Argentina,"Mr. Eolande Immings is a renowned author from Argentina, born on 23-11-1925. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3116,Mr.,Ava,Goodspeed,22-12-1938,China,"Mr. Ava Goodspeed is a renowned author from China, born on 22-12-1938. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3117,Mr.,Yovonnda,Polk,19-10-1925,Ireland,"Mr. Yovonnda Polk is a renowned author from Ireland, born on 19-10-1925. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3118,Mr.,Bab,Widdows,21-01-1926,France,"Mr. Bab Widdows is a renowned author from France, born on 21-01-1926. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3119,Prof.,Giulia,Astling,12-08-1926,Czech Republic,"Prof. Giulia Astling is a renowned author from Czech Republic, born on 12-08-1926. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3120,Dr.,Mace,Macartney,29-04-1945,Ukraine,"Dr. Mace Macartney is a renowned author from Ukraine, born on 29-04-1945. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3121,Prof.,Matias,Gleadhall,24-03-1927,China,"Prof. Matias Gleadhall is a renowned author from China, born on 24-03-1927. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3122,Dr.,Beryl,McDunlevy,22-11-1929,Philippines,"Dr. Beryl McDunlevy is a renowned author from Philippines, born on 22-11-1929. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3123,Prof.,Mischa,Raithmill,12-03-1947,Vietnam,"Prof. Mischa Raithmill is a renowned author from Vietnam, born on 12-03-1947. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3124,Mr.,Karisa,Durrand,09-01-1929,Cameroon,"Mr. Karisa Durrand is a renowned author from Cameroon, born on 09-01-1929. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3125,Prof.,Morris,De Ruel,26-03-1928,Madagascar,"Prof. Morris De Ruel is a renowned author from Madagascar, born on 26-03-1928. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3126,Dr.,Gram,Lovstrom,19-12-1930,Libya,"Dr. Gram Lovstrom is a renowned author from Libya, born on 19-12-1930. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3127,Dr.,Violetta,Fahrenbacher,22-06-1933,Philippines,"Dr. Violetta Fahrenbacher is a renowned author from Philippines, born on 22-06-1933. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3128,Dr.,Roshelle,MacConnechie,04-11-1926,Brazil,"Dr. Roshelle MacConnechie is a renowned author from Brazil, born on 04-11-1926. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3129,Dr.,Amargo,Kleinplac,23-07-1938,Indonesia,"Dr. Amargo Kleinplac is a renowned author from Indonesia, born on 23-07-1938. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3130,Dr.,Zebulon,Ibberson,16-05-1927,Russia,"Dr. Zebulon Ibberson is a renowned author from Russia, born on 16-05-1927. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3131,Dr.,Manon,Earley,17-06-1948,Indonesia,"Dr. Manon Earley is a renowned author from Indonesia, born on 17-06-1948. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3132,Prof.,Helaine,O'Shevlan,05-09-1927,Sweden,"Prof. Helaine O'Shevlan is a renowned author from Sweden, born on 05-09-1927. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3133,Prof.,Bar,Braferton,07-12-1947,China,"Prof. Bar Braferton is a renowned author from China, born on 07-12-1947. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3134,Prof.,Meg,Platfoot,10-05-1926,Vietnam,"Prof. Meg Platfoot is a renowned author from Vietnam, born on 10-05-1926. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3135,Dr.,Morena,Mynard,10-09-1943,Brazil,"Dr. Morena Mynard is a renowned author from Brazil, born on 10-09-1943. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3136,Dr.,Rita,Coldbreath,15-01-1929,Ukraine,"Dr. Rita Coldbreath is a renowned author from Ukraine, born on 15-01-1929. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3137,Dr.,Kristin,Kenealy,17-06-1928,Egypt,"Dr. Kristin Kenealy is a renowned author from Egypt, born on 17-06-1928. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3138,Mr.,Skyler,Cuel,05-06-1942,United States,"Mr. Skyler Cuel is a renowned author from United States, born on 05-06-1942. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3139,Prof.,Georgy,Ambrosi,02-12-1935,China,"Prof. Georgy Ambrosi is a renowned author from China, born on 02-12-1935. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3140,Dr.,Noelyn,Chadwell,01-08-1935,Senegal,"Dr. Noelyn Chadwell is a renowned author from Senegal, born on 01-08-1935. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3141,Prof.,Charisse,Wyldes,01-09-1928,United States,"Prof. Charisse Wyldes is a renowned author from United States, born on 01-09-1928. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3142,Dr.,Filip,Andrat,27-10-1929,Indonesia,"Dr. Filip Andrat is a renowned author from Indonesia, born on 27-10-1929. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3143,Dr.,Nancey,Ough,25-10-1945,China,"Dr. Nancey Ough is a renowned author from China, born on 25-10-1945. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
